,Species,Region,Site,ID,Sample.Plate,CollectionDate,Season,Rain,sampleName,fileName,totalSym,propA,propB,propC,propD,dom,coDom,background
65,Ofav,Miami offshore,Rainbow Reef,urban_105,Sample 6_UrbanPopgen_Plate09_7-5-23_data.csv,22-Oct,Fall,Wet,Sample 6,UrbanPopgen_Plate09_7-5-23_data.csv,1,0.954150414,0,0.000749468,0.045100119,A,A,CD
66,Ofav,Miami offshore,Rainbow Reef,urban_106,Sample 7_UrbanPopgen_Plate09_7-5-23_data.csv,22-Oct,Fall,Wet,Sample 7,UrbanPopgen_Plate09_7-5-23_data.csv,1,0.129761762,0.810106634,1.30E-05,0.060118565,B,BA,CD
67,Ofav,Miami urban,Star Island,nmfs_056,Sample 7_UrbanPopgen_Plate10_7-5-23_data.csv,21-Feb,Winter,Dry,Sample 7,UrbanPopgen_Plate10_7-5-23_data.csv,1,0.000233948,0,0,0.999766052,D,D,A
68,Pseu,Miami offshore,Emerald Reef,OS24,Sample 6_UrbanPopgen_Plate18_7-10-23_data.csv,22-Jul,Summer,Wet,Sample 6,UrbanPopgen_Plate18_7-10-23_data.csv,2,1,1,0,0,A,AB,
69,Pseu,Miami offshore,Emerald Reef,OS6 rex,Sample 8_UrbanPopgen_Plate18_7-10-23_data.csv,22-Jun,Summer,Wet,Sample 8,UrbanPopgen_Plate18_7-10-23_data.csv,1,0.55737171,0.001543299,0.000197296,0.440887695,A,AD,BC
70,Pseu,Miami offshore,Emerald Reef,nmfs_023,Sample 11_UrbanPopgen_Plate17_7-10-23_data.csv,21-Jan,Winter,Dry,Sample 11,UrbanPopgen_Plate17_7-10-23_data.csv,1,0.128005487,0.871994513,0,0,B,BA,
71,Pseu,Miami offshore,Emerald Reef,urban_078,Sample 1_UrbanPopgen_Plate19_7-10-23_data.csv,22-Oct,Fall,Wet,Sample 1,UrbanPopgen_Plate19_7-10-23_data.csv,1,0.152792087,0,0,0.847207913,D,DA,
72,Pseu,Miami offshore,Emerald Reef,urban_324,Sample 10_UrbanPopgen_Plate19_7-10-23_data.csv,23-Jun,Summer,Wet,Sample 10,UrbanPopgen_Plate19_7-10-23_data.csv,1,0.109039905,0.006833296,0.005935241,0.878191558,D,DA,BC
73,Pseu,Miami offshore,Rainbow Reef,OS15 rex,Sample 9_UrbanPopgen_Plate20_7-10-23_data.csv,22-Jun,Summer,Wet,Sample 9,UrbanPopgen_Plate20_7-10-23_data.csv,2,1,0.002156079,0.000260263,0.997583658,A,AD,BC
74,Pseu,Miami offshore,Rainbow Reef,OS19 rex2,Sample 2_UrbanPopgen_Plate21_7-10-23_data.csv,22-Jun,Summer,Wet,Sample 2,UrbanPopgen_Plate21_7-10-23_data.csv,1,0.18145472,0.81854528,0,0,B,BA,
75,Pseu,Miami offshore,Rainbow Reef,nmfs_010,Sample 4_UrbanPopgen_Plate20_7-10-23_data.csv,21-Jan,Winter,Dry,Sample 4,UrbanPopgen_Plate20_7-10-23_data.csv,1,0.73794002,0.261961467,0,9.85E-05,A,AB,D
76,Pseu,Miami offshore,Rainbow Reef,urban_107,Sample 6_UrbanPopgen_Plate21_7-10-23_data.csv,22-Oct,Fall,Wet,Sample 6,UrbanPopgen_Plate21_7-10-23_data.csv,1,0.669880464,0.000943811,0,0.329175724,A,AD,B
