Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\cmblab\Downloads\UrbanPopgen_Plate38_1-11-24.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-01-11 20:22:23 PM EST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP,EXPFAIL
G3,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
G3,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,24.93813324,24.93930054,0.001649459,,,,FALSE,0.1,TRUE,3,21,,N,N,N,Y
G4,Sample 12,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
G5,Sample 12,B,UNKNOWN,FAM,NFQ-MGB,37.04097748,37.04097748,,,,,FALSE,0.1,TRUE,3,33,,N,N,N,N
G6,Sample 12,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
G6,Sample 12,D,UNKNOWN,FAM,NFQ-MGB,24.94046593,24.93930054,0.001649459,,,,FALSE,0.1,TRUE,3,21,,N,N,N,Y
G7,Sample 13,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
G8,Sample 13,B,UNKNOWN,FAM,NFQ-MGB,29.63038635,29.62672043,0.005185748,,,,FALSE,0.1,TRUE,3,25,,N,N,N,N
G9,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,38.13420105,38.13420105,,,,,FALSE,0.1,TRUE,3,34,,N,Y,N,N
G9,Sample 13,D,UNKNOWN,FAM,NFQ-MGB,36.0410614,35.46147919,0.819650352,,,,FALSE,0.1,TRUE,3,32,,N,Y,N,N
G10,Sample 13,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y,Y
G11,Sample 13,B,UNKNOWN,FAM,NFQ-MGB,29.6230526,29.62672043,0.005185748,,,,FALSE,0.1,TRUE,3,25,,N,N,N,N
G12,Sample 13,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,38.13420105,,,,,FALSE,0.1,TRUE,3,33,,N,Y,N,N
